"Ligand","Receptor","Annotation","Reference"
"Angptl4","Gpihbp1","Secreted Signaling","NicheNet_v2_omnipath"
"Angptl4","Itga5","Secreted Signaling","NicheNet_v2_omnipath"
"Angptl4","Itgav","Secreted Signaling","NicheNet_v2_omnipath"
"Angptl4","Itgb1","Secreted Signaling","NicheNet_v2_omnipath"
"Angptl4","Itgb3","Secreted Signaling","NicheNet_v2_omnipath"
"Angptl4","Lpl","Secreted Signaling","NicheNet_v2_omnipath"
"Angptl4","Sdc1","Secreted Signaling","NicheNet_v2_omnipath"
"Angptl4","Sdc2","Secreted Signaling","NicheNet_v2_omnipath"
"Angptl4","Sdc3","Secreted Signaling","NicheNet_v2_omnipath"
"Angptl4","Sdc4","Secreted Signaling","NicheNet_v2_omnipath"
"Angptl4","Tie1","Secreted Signaling","NicheNet_v2_omnipath"
"Angptl6","Tek","Secreted Signaling","NicheNet_v2_omnipath"
"Angptl7","Pira1","Secreted Signaling","NicheNet_v2_omnipath"
"Angptl7","Pira2","Secreted Signaling","NicheNet_v2_omnipath"
"Angptl7","Lilra6","Secreted Signaling","NicheNet_v2_omnipath"
"Angptl7","Pira6","Secreted Signaling","NicheNet_v2_omnipath"
"Angptl7","Pirb","Secreted Signaling","NicheNet_v2_omnipath"
"Angptl7","Gm14548","Secreted Signaling","NicheNet_v2_omnipath"
"Angptl7","Gm15448","Secreted Signaling","NicheNet_v2_omnipath"
"Angptl7","Pira12","Secreted Signaling","NicheNet_v2_omnipath"
"Angptl7","Lilra5","Secreted Signaling","NicheNet_v2_omnipath"
"Angptl7","Pira13","Secreted Signaling","NicheNet_v2_omnipath"
"Anpep","Sele","Secreted Signaling","NicheNet_v2_omnipath"
"Antxr1","Treml2","Secreted Signaling","NicheNet_v2_nichenet_verschueren"
"Anxa1","Dysf","Secreted Signaling","NicheNet_v2_omnipath"
"Anxa1","Egfr","Secreted Signaling","NicheNet_v2_omnipath"
"Anxa1","Fpr1","Secreted Signaling","NicheNet_v2_omnipath"
"Anxa1","Fpr2","Secreted Signaling","NicheNet_v2_omnipath"
"Anxa1","Fpr3","Secreted Signaling","NicheNet_v2_omnipath"
"Anxa2","Dysf","Secreted Signaling","NicheNet_v2_omnipath"
"Anxa2","Egfr","Secreted Signaling","NicheNet_v2_omnipath"
"Anxa2","Plat","Secreted Signaling","NicheNet_v2_omnipath"
"Anxa2","Robo4","Secreted Signaling","NicheNet_v2_omnipath"
"Anxa2","Tlr2","Secreted Signaling","NicheNet_v2_omnipath"
"Apln","Aplnr","Secreted Signaling","NicheNet_v2_omnipath"
"Apln","Grm7","Secreted Signaling","NicheNet_v2_omnipath"
"Apoa1","Abca1","Secreted Signaling","NicheNet_v2_omnipath"
"Apoa1","Ldlr","Secreted Signaling","NicheNet_v2_omnipath"
"Apoa1","Lrp1","Secreted Signaling","NicheNet_v2_omnipath"
"Apoa1","Lrp2","Secreted Signaling","NicheNet_v2_omnipath"
"Apoa2","Ldlr","Secreted Signaling","NicheNet_v2_omnipath"
"Apoa2","Lrp1","Secreted Signaling","NicheNet_v2_omnipath"
"Apoa2","Lrp2","Secreted Signaling","NicheNet_v2_omnipath"
"Apoa4","Ldlr","Secreted Signaling","NicheNet_v2_omnipath"
"Apoa4","Lrp1","Secreted Signaling","NicheNet_v2_omnipath"
"Apoa4","Lrp2","Secreted Signaling","NicheNet_v2_omnipath"
"Apoa5","Lpl","Secreted Signaling","NicheNet_v2_omnipath"
"Apob","Adrb2","Secreted Signaling","NicheNet_v2_omnipath"
"Apob","Calcr","Secreted Signaling","NicheNet_v2_omnipath"
"Apob","Itgam","Secreted Signaling","NicheNet_v2_omnipath"
"Apob","Gm49368","Secreted Signaling","NicheNet_v2_omnipath"
"Apob","Itgb2","Secreted Signaling","NicheNet_v2_omnipath"
"Apob","Itgb2l","Secreted Signaling","NicheNet_v2_omnipath"
"Apob","Ldlr","Secreted Signaling","NicheNet_v2_omnipath"
"Apob","Lrp1","Secreted Signaling","NicheNet_v2_omnipath"
"Apob","Lrp2","Secreted Signaling","NicheNet_v2_omnipath"
"Apob","Lrp8","Secreted Signaling","NicheNet_v2_omnipath"
"Apob","Lsr","Secreted Signaling","NicheNet_v2_omnipath"
"Apob","Olr1","Secreted Signaling","NicheNet_v2_omnipath"
"Apob","Tlr4","Secreted Signaling","NicheNet_v2_omnipath"
"Apob","Tlr6","Secreted Signaling","NicheNet_v2_omnipath"
"Apob","Trem2","Secreted Signaling","NicheNet_v2_omnipath"
"Apob","Vldlr","Secreted Signaling","NicheNet_v2_omnipath"
"Apoc1","Vldlr","Secreted Signaling","NicheNet_v2_omnipath"
"Apoc2","Ldlr","Secreted Signaling","NicheNet_v2_omnipath"
"Apoc2","Lpl","Secreted Signaling","NicheNet_v2_omnipath"
"Apoc2","Lrp1","Secreted Signaling","NicheNet_v2_omnipath"
"Apoc2","Lrp2","Secreted Signaling","NicheNet_v2_omnipath"
"Apoc3","Ldlr","Secreted Signaling","NicheNet_v2_omnipath"
"Apoc3","Lrp1","Secreted Signaling","NicheNet_v2_omnipath"
"Apoc3","Lrp2","Secreted Signaling","NicheNet_v2_omnipath"
"Apoc3","Sdc2","Secreted Signaling","NicheNet_v2_omnipath"
"Apoc3","Tlr2","Secreted Signaling","NicheNet_v2_omnipath"
"Apoc4","Vldlr","Secreted Signaling","NicheNet_v2_omnipath"
"Apod","Lepr","Secreted Signaling","NicheNet_v2_omnipath"
"Apoe","App","Secreted Signaling","NicheNet_v2_omnipath"
"Apoe","Ldlr","Secreted Signaling","NicheNet_v2_omnipath"
"Apoe","Lrp1","Secreted Signaling","NicheNet_v2_omnipath"
"Apoe","Lrp2","Secreted Signaling","NicheNet_v2_omnipath"
"Apoe","Lrp5","Secreted Signaling","NicheNet_v2_omnipath"
"Apoe","Lrp8","Secreted Signaling","NicheNet_v2_omnipath"
"Apoe","Scarb1","Secreted Signaling","NicheNet_v2_omnipath"
"Apoe","Sorl1","Secreted Signaling","NicheNet_v2_omnipath"
"Apoe","Trem2","Secreted Signaling","NicheNet_v2_omnipath"
"Apoe","Vldlr","Secreted Signaling","NicheNet_v2_omnipath"
"Apoo","Il1rapl1","Secreted Signaling","NicheNet_v2_omnipath"
"Apoo","Il1rapl2","Secreted Signaling","NicheNet_v2_omnipath"
"App","Bace1","Secreted Signaling","NicheNet_v2_omnipath"
"App","Cd74","Secreted Signaling","NicheNet_v2_omnipath"
"App","Flt1","Secreted Signaling","NicheNet_v2_nichenet_verschueren"
"App","Fpr2","Secreted Signaling","NicheNet_v2_omnipath"
"App","Fpr3","Secreted Signaling","NicheNet_v2_omnipath"
"App","Gpc1","Secreted Signaling","NicheNet_v2_omnipath"
"App","Lrp1","Secreted Signaling","NicheNet_v2_omnipath"
"App","Ncstn","Secreted Signaling","NicheNet_v2_omnipath"
"App","Ngfr","Secreted Signaling","NicheNet_v2_omnipath"
"App","Sorl1","Secreted Signaling","NicheNet_v2_omnipath"
"App","Tnfrsf21","Secreted Signaling","NicheNet_v2_omnipath"
"Areg","Egfr","Secreted Signaling","NicheNet_v2_omnipath"
"Areg","Erbb2","Secreted Signaling","NicheNet_v2_omnipath"
"Areg","Erbb3","Secreted Signaling","NicheNet_v2_omnipath"
"Areg","Mmp9","Secreted Signaling","NicheNet_v2_omnipath"
"Arf1","Pld2","Secreted Signaling","NicheNet_v2_nichenet_verschueren"
"Armh4","Tnfrsf11b","Secreted Signaling","NicheNet_v2_nichenet_verschueren"
"Artn","Gfra1","Secreted Signaling","NicheNet_v2_omnipath"
"Artn","Gfra2","Secreted Signaling","NicheNet_v2_omnipath"
"Artn","Gfra3","Secreted Signaling","NicheNet_v2_omnipath"
"Artn","Ncam1","Secreted Signaling","NicheNet_v2_omnipath"
"Artn","Ret","Secreted Signaling","NicheNet_v2_omnipath"
"Atp1b1","Negr1","Secreted Signaling","NicheNet_v2_omnipath"
"AU040320","Ildr1","Secreted Signaling","NicheNet_v2_omnipath"
"AU040320","Mpzl3","Secreted Signaling","NicheNet_v2_omnipath"
"AU040320","Siglecf","Secreted Signaling","NicheNet_v2_nichenet_verschueren"
"AU040320","Siglece","Secreted Signaling","NicheNet_v2_nichenet_verschueren"
"AU040320","Unc5a","Secreted Signaling","NicheNet_v2_omnipath"
"Avp","Aqp2","Secreted Signaling","NicheNet_v2_omnipath"
"Avp","Avpr1a","Secreted Signaling","NicheNet_v2_omnipath"
"Avp","Avpr1b","Secreted Signaling","NicheNet_v2_omnipath"
"Avp","Avpr2","Secreted Signaling","NicheNet_v2_omnipath"
"Avp","Oxtr","Secreted Signaling","NicheNet_v2_omnipath"
"Azgp1","Itgav","Secreted Signaling","NicheNet_v2_omnipath"
"B2m","Klrc1","Secreted Signaling","NicheNet_v2_omnipath"
"B2m","Klrc3","Secreted Signaling","NicheNet_v2_omnipath"
"B2m","Klrc2","Secreted Signaling","NicheNet_v2_omnipath"
"B2m","Klrd1","Secreted Signaling","NicheNet_v2_omnipath"
"B2m","Tap1","Secreted Signaling","NicheNet_v2_omnipath"
"B2m","Tap2","Secreted Signaling","NicheNet_v2_omnipath"
"Bace1","App","Secreted Signaling","NicheNet_v2_omnipath"
"Bace1","Selplg","Secreted Signaling","NicheNet_v2_omnipath"
"Bace2","App","Secreted Signaling","NicheNet_v2_omnipath"
"BC053393","Cd300lb","Secreted Signaling","NicheNet_v2_omnipath"
"BC053393","Igsf21","Secreted Signaling","NicheNet_v2_omnipath"
"BC053393","Siglec1","Secreted Signaling","NicheNet_v2_omnipath"
"BC053393","Timd4","Secreted Signaling","NicheNet_v2_omnipath"
"Bcan","Egfr","Secreted Signaling","NicheNet_v2_omnipath"
"Bcan","Nrcam","Secreted Signaling","NicheNet_v2_omnipath"
"Bdnf","Drd4","Secreted Signaling","NicheNet_v2_omnipath"
"Bdnf","Erbb2","Secreted Signaling","NicheNet_v2_omnipath"
"Bdnf","Ngfr","Secreted Signaling","NicheNet_v2_omnipath"
"Bdnf","Ntrk2","Secreted Signaling","NicheNet_v2_omnipath"
"Bdnf","Sort1","Secreted Signaling","NicheNet_v2_omnipath"
"Bgn","Fgfr3","Secreted Signaling","NicheNet_v2_omnipath"
"Bgn","Tlr1","Secreted Signaling","NicheNet_v2_omnipath"
"Bgn","Tlr2","Secreted Signaling","NicheNet_v2_omnipath"
"Bgn","Tlr4","Secreted Signaling","NicheNet_v2_omnipath"
"Bmp1","Bmpr1a","Secreted Signaling","NicheNet_v2_omnipath"
