ID	HMDB ID	Metabolite name	metName	Receptor symbol	Protein name	PMID	Other.DB	MRID
746	HMDB0001335	Prostaglandin I2	Prostaglandin I2	Ptgir	Prostacyclin receptor	CellPhoneDB	Receptor	MRM0746
747	HMDB0001198	Leukotriene C4	Leukotriene C4	Cysltr1	Cysteinyl leukotriene receptor 1	CellChat	Receptor	MRM0747
748	HMDB0003080	Leukotriene D4	Leukotriene D4	Cysltr1	Cysteinyl leukotriene receptor 1	CellChat	Receptor	MRM0748
749	HMDB0002200	Leukotriene E4	Leukotriene E4	Cysltr1	Cysteinyl leukotriene receptor 1	CellChat	Receptor	MRM0749
750	HMDB0001198	Leukotriene C4	Leukotriene C4	Cysltr2	Cysteinyl leukotriene receptor 2	CellChat	Receptor	MRM0750
751	HMDB0003080	Leukotriene D4	Leukotriene D4	Cysltr2	Cysteinyl leukotriene receptor 2	CellChat	Receptor	MRM0751
752	HMDB0002200	Leukotriene E4	Leukotriene E4	Cysltr2	Cysteinyl leukotriene receptor 2	CellChat	Receptor	MRM0752
753	HMDB0000259	Serotonin	Serotonin	Htr1f	5-hydroxytryptamine receptor 1F	CellChat	Receptor	MRM0753
754	HMDB0000259	Serotonin	Serotonin	Htr5a	5-hydroxytryptamine receptor 5A	CellChat	Receptor	MRM0754
755	HMDB0000259	Serotonin	Serotonin	Htr7	5-hydroxytryptamine receptor 7	CellChat	Receptor	MRM0755
756	HMDB0005087	6-trans-Leukotriene B4	6-trans-Leukotriene B4	Ltb4r1	Leukotriene B4 receptor 1	CellChat	Receptor	MRM0756
757	HMDB0005087	6-trans-Leukotriene B4	6-trans-Leukotriene B4	Ltb4r2	Leukotriene B4 receptor 2	CellChat	Receptor	MRM0757
758	HMDB0001220	Prostaglandin E2	Prostaglandin E2	Ptger3	Prostaglandin E2 receptor EP3 subtype	CellChat	Receptor	MRM0758
759	HMDB0001139	Prostaglandin F2a	Prostaglandin F2a	Ptgfr	Prostaglandin F2-alpha receptor	CellChat	Receptor	MRM0759
760	HMDB0001335	Prostaglandin I2	Prostaglandin I2	Ptgir	Prostacyclin receptor	CellChat	Receptor	MRM0760
761	HMDB0003759	5a-Pregnane-3,20-dione	5a-Pregnane-3,20-dione	Pgr	Progesterone receptor	CellChat	Nuclear Receptor	MRM0761
762	HMDB0000031	Androsterone	Androsterone	Nr1h4	Bile acid receptor	CellChat	Nuclear Receptor	MRM0762
