ID	HMDB ID	Metabolite name	metName	Receptor symbol	Protein name	PMID	Other.DB	MRID
196	HMDB0000167	L-Threonine	L-threonine	Slc43a1	Large neutral amino acids transporter small subunit 3	Recon2	Transporter	MRM0196
197	HMDB0000883	L-Valine	L-valine	Slc43a2	Large neutral amino acids transporter small subunit 4	Recon2	Transporter	MRM0197
198	HMDB0000929	L-Tryptophan	L-tryptophan	Slc36a4	Neutral amino acid uniporter 4	Recon2	Transporter	MRM0198
199	HMDB0000929	L-Tryptophan	L-tryptophan	Slc16a10	Monocarboxylate transporter 10	Recon2	Transporter	MRM0199
200	HMDB0000172	L-Isoleucine	L-isoleucine	Slc43a2	Large neutral amino acids transporter small subunit 4	Recon2	Transporter	MRM0200
201	HMDB0000517	L-Arginine	L-argininium(1+)	Slc38a4	Sodium-coupled neutral amino acid transporter 4	Recon2	Transporter	MRM0201
202	HMDB0000517	L-Arginine	L-argininium(1+)	Slc7a2	Cationic amino acid transporter 2	Recon2	Transporter	MRM0202
203	HMDB0000517	L-Arginine	L-argininium(1+)	Slc7a3	Cationic amino acid transporter 3	Recon2	Transporter	MRM0203
204	HMDB0000177	L-Histidine	L-histidine	Slc38a4	Sodium-coupled neutral amino acid transporter 4	Recon2	Transporter	MRM0204
205	HMDB0000182	L-Lysine	L-lysinium(1+)	Slc38a4	Sodium-coupled neutral amino acid transporter 4	Recon2	Transporter	MRM0205
206	HMDB0000182	L-Lysine	L-lysinium(1+)	Slc7a2	Cationic amino acid transporter 2	Recon2	Transporter	MRM0206
207	HMDB0000182	L-Lysine	L-lysinium(1+)	Slc7a1	High affinity cationic amino acid transporter 1	Recon2	Transporter	MRM0207
208	HMDB0000182	L-Lysine	L-lysinium(1+)	Slc7a3	Cationic amino acid transporter 3	Recon2	Transporter	MRM0208
209	HMDB0000214	Ornithine	Ornithine	Slc7a2	Cationic amino acid transporter 2	Recon2	Transporter	MRM0209
210	HMDB0000214	Ornithine	Ornithine	Slc7a1	High affinity cationic amino acid transporter 1	Recon2	Transporter	MRM0210
211	HMDB0000214	Ornithine	Ornithine	Slc7a3	Cationic amino acid transporter 3	Recon2	Transporter	MRM0211
212	HMDB0000143	D-Galactose	D-Galactose	Slc2a2	Solute carrier family 2, facilitated glucose transporter member 2	Recon2	Transporter	MRM0212
213	HMDB0000143	D-Galactose	D-Galactose	Slc2a3	Solute carrier family 2, facilitated glucose transporter member 3	Recon2	Transporter	MRM0213
214	HMDB0000143	D-Galactose	D-Galactose	Slc2a8	Solute carrier family 2, facilitated glucose transporter member 8	Recon2	Transporter	MRM0214
215	HMDB0000143	D-Galactose	D-Galactose	Slc2a10	Solute carrier family 2, facilitated glucose transporter member 10	Recon2	Transporter	MRM0215
216	HMDB0000143	D-Galactose	D-Galactose	Slc2a1	Solute carrier family 2, facilitated glucose transporter member 1	Recon2	Transporter	MRM0216
217	HMDB0001043	Arachidonic acid	arachidonate	Slc27a5	Long-chain fatty acid transport protein 5	Recon2	Transporter	MRM0217
218	HMDB0000122	D-Glucose	D-glucose	Slc2a9	Solute carrier family 2, facilitated glucose transporter member 9	Recon2	Transporter	MRM0218
219	HMDB0000122	D-Glucose	D-glucose	Slc2a2	Solute carrier family 2, facilitated glucose transporter member 2	Recon2	Transporter	MRM0219
220	HMDB0000122	D-Glucose	D-glucose	Slc2a6	Solute carrier family 2, facilitated glucose transporter member 6	Recon2	Transporter	MRM0220
221	HMDB0000122	D-Glucose	D-glucose	Slc2a3	Solute carrier family 2, facilitated glucose transporter member 3	Recon2	Transporter	MRM0221
222	HMDB0000122	D-Glucose	D-glucose	Slc2a4	Solute carrier family 2, facilitated glucose transporter member 4	Recon2	Transporter	MRM0222
223	HMDB0000122	D-Glucose	D-glucose	Slc2a8	Solute carrier family 2, facilitated glucose transporter member 8	Recon2	Transporter	MRM0223
224	HMDB0000122	D-Glucose	D-glucose	Slc2a7	Solute carrier family 2, facilitated glucose transporter member 7	Recon2	Transporter	MRM0224
225	HMDB0000122	D-Glucose	D-glucose	Slc2a12	Solute carrier family 2, facilitated glucose transporter member 12	Recon2	Transporter	MRM0225
226	HMDB0000122	D-Glucose	D-glucose	Slc2a10	Solute carrier family 2, facilitated glucose transporter member 10	Recon2	Transporter	MRM0226
227	HMDB0000122	D-Glucose	D-glucose	Slc2a1	Solute carrier family 2, facilitated glucose transporter member 1	Recon2	Transporter	MRM0227
228	HMDB0001264	Dehydroascorbic acid	dehydroascorbide(1-)	Slc2a4	Solute carrier family 2, facilitated glucose transporter member 4	Recon2	Transporter	MRM0228
229	HMDB0001264	Dehydroascorbic acid	dehydroascorbide(1-)	Slc2a3	Solute carrier family 2, facilitated glucose transporter member 3	Recon2	Transporter	MRM0229
230	HMDB0001264	Dehydroascorbic acid	dehydroascorbide(1-)	Slc2a1	Solute carrier family 2, facilitated glucose transporter member 1	Recon2	Transporter	MRM0230
231	HMDB0000073	Dopamine	dopaminium(1+)	Slc22a3	Solute carrier family 22 member 3	Recon2	Transporter	MRM0231
232	HMDB0000073	Dopamine	dopaminium(1+)	Slc22a2	Solute carrier family 22 member 2	Recon2	Transporter	MRM0232
233	HMDB0000073	Dopamine	dopaminium(1+)	Slc22a21	Organic cation/carnitine transporter 2	Recon2	Transporter	MRM0233
234	HMDB0000073	Dopamine	dopaminium(1+)	Slc22a5	Organic cation/carnitine transporter 2	Recon2	Transporter	MRM0234
235	HMDB0000169	D-Mannose	D-Mannose	Slc2a2	Solute carrier family 2, facilitated glucose transporter member 2	Recon2	Transporter	MRM0235
236	HMDB0000169	D-Mannose	D-Mannose	Slc2a3	Solute carrier family 2, facilitated glucose transporter member 3	Recon2	Transporter	MRM0236
237	HMDB0000169	D-Mannose	D-Mannose	Slc2a1	Solute carrier family 2, facilitated glucose transporter member 1	Recon2	Transporter	MRM0237
238	HMDB0000050	Adenosine	Adenosine	Slc29a2	Equilibrative nucleoside transporter 2	Recon2	Transporter	MRM0238
239	HMDB0000050	Adenosine	Adenosine	Slc29a1	Equilibrative nucleoside transporter 1	Recon2	Transporter	MRM0239
240	HMDB0000216	Norepinephrine	Norepinephrine	Slc22a1	Solute carrier family 22 member 1	Recon2	Transporter	MRM0240
241	HMDB0000216	Norepinephrine	Norepinephrine	Slc22a2	Solute carrier family 22 member 2	Recon2	Transporter	MRM0241
242	HMDB0000216	Norepinephrine	Norepinephrine	Slc22a3	Solute carrier family 22 member 3	Recon2	Transporter	MRM0242
243	HMDB0000097	Choline	Choline	Slc22a2	Solute carrier family 22 member 2	Recon2	Transporter	MRM0243
244	HMDB0000097	Choline	Choline	Slc22a21	Organic cation/carnitine transporter 2	Recon2	Transporter	MRM0244
245	HMDB0000097	Choline	Choline	Slc22a5	Organic cation/carnitine transporter 2	Recon2	Transporter	MRM0245
246	HMDB0000259	Serotonin	serotonin(1+)	Slc22a1	Solute carrier family 22 member 1	Recon2	Transporter	MRM0246
247	HMDB0000259	Serotonin	serotonin(1+)	Slc22a2	Solute carrier family 22 member 2	Recon2	Transporter	MRM0247
248	HMDB0000660	D-Fructose	D-Fructose	Slc2a2	Solute carrier family 2, facilitated glucose transporter member 2	Recon2	Transporter	MRM0248
249	HMDB0000660	D-Fructose	D-Fructose	Slc2a7	Solute carrier family 2, facilitated glucose transporter member 7	Recon2	Transporter	MRM0249
250	HMDB0000660	D-Fructose	D-Fructose	Slc2a8	Solute carrier family 2, facilitated glucose transporter member 8	Recon2	Transporter	MRM0250
251	HMDB0000660	D-Fructose	D-Fructose	Slc2a5	Solute carrier family 2, facilitated glucose transporter member 5	Recon2	Transporter	MRM0251
252	HMDB0001220	Prostaglandin E2	prostaglandin E2(1-)	Slc22a1	Solute carrier family 22 member 1	Recon2	Transporter	MRM0252
253	HMDB0001220	Prostaglandin E2	prostaglandin E2(1-)	Slc22a2	Solute carrier family 22 member 2	Recon2	Transporter	MRM0253
254	HMDB0000296	Uridine	Uridine	Slc29a2	Equilibrative nucleoside transporter 2	Recon2	Transporter	MRM0254
255	HMDB0000296	Uridine	Uridine	Slc29a1	Equilibrative nucleoside transporter 1	Recon2	Transporter	MRM0255
256	HMDB0000220	Palmitic acid	Hexadecanoate (n-C16:0)	Slc27a5	Long-chain fatty acid transport protein 5	Recon2	Transporter	MRM0256
257	HMDB0000305	Vitamin A	retinol	Rbp1	Retinol-binding protein 1	Recon2	Transporter	MRM0257
258	HMDB0000305	Vitamin A	retinol	Rbp4	Retinol-binding protein 4	Recon2	Transporter	MRM0258
259	HMDB0000305	Vitamin A	retinol	Rbp2	Retinol-binding protein 2	Recon2	Transporter	MRM0259
260	HMDB0000195	Inosine	Inosine	Slc29a2	Equilibrative nucleoside transporter 2	Recon2	Transporter	MRM0260
261	HMDB0000195	Inosine	Inosine	Slc29a1	Equilibrative nucleoside transporter 1	Recon2	Transporter	MRM0261
262	HMDB0000089	Cytidine	Cytidine	Slc29a2	Equilibrative nucleoside transporter 2	Recon2	Transporter	MRM0262
263	HMDB0000089	Cytidine	Cytidine	Slc29a1	Equilibrative nucleoside transporter 1	Recon2	Transporter	MRM0263
264	HMDB0000207	Oleic acid	octadecenoate (n-C18:1)	Slc27a5	Long-chain fatty acid transport protein 5	Recon2	Transporter	MRM0264
265	HMDB0000870	Histamine	histamium	Slc22a3	Solute carrier family 22 member 3	Recon2	Transporter	MRM0265
266	HMDB0000870	Histamine	histamium	Slc22a2	Solute carrier family 22 member 2	Recon2	Transporter	MRM0266
267	HMDB0000870	Histamine	histamium	Slc22a21	Organic cation/carnitine transporter 2	Recon2	Transporter	MRM0267
268	HMDB0000870	Histamine	histamium	Slc22a5	Organic cation/carnitine transporter 2	Recon2	Transporter	MRM0268
269	HMDB0000265	Liothyronine	3,3',5-triiodo-L-thyronine	Slc16a2	Monocarboxylate transporter 8	Recon2	Transporter	MRM0269
270	HMDB0003550	Calcidiol	calcidiol	Cubn	Cubilin	Recon2	Transporter	MRM0270
271	HMDB0003550	Calcidiol	calcidiol	Lrp2	Low-density lipoprotein receptor-related protein 2	Recon2	Transporter	MRM0271
272	HMDB0003550	Calcidiol	calcidiol	Gc	Vitamin D-binding protein	Recon2	Transporter	MRM0272
273	HMDB0000181	L-Dopa	L-dopa	Slc16a10	Monocarboxylate transporter 10	Recon2	Transporter	MRM0273
274	HMDB0001396	5-Methyltetrahydrofolic acid	5-Methyltetrahydrofolate	Folr1	Folate receptor alpha	Recon2	Transporter	MRM0274
275	HMDB0000895	Acetylcholine	acetylcholine	Slc22a1	Solute carrier family 22 member 1	Recon2	Transporter	MRM0275
276	HMDB0000012	Deoxyuridine	Deoxyuridine	Slc29a2	Equilibrative nucleoside transporter 2	Recon2	Transporter	MRM0276
277	HMDB0000133	Guanosine	Guanosine	Slc29a2	Equilibrative nucleoside transporter 2	Recon2	Transporter	MRM0277
278	HMDB0000133	Guanosine	Guanosine	Slc29a1	Equilibrative nucleoside transporter 1	Recon2	Transporter	MRM0278
279	HMDB0000157	Hypoxanthine	Hypoxanthine	Slc29a2	Equilibrative nucleoside transporter 2	Recon2	Transporter	MRM0279
280	HMDB0000248	Thyroxine	L-thyroxine	Slc16a2	Monocarboxylate transporter 8	Recon2	Transporter	MRM0280
281	HMDB0000273	Thymidine	Thymidine	Slc29a2	Equilibrative nucleoside transporter 2	Recon2	Transporter	MRM0281
282	HMDB0000273	Thymidine	Thymidine	Slc29a1	Equilibrative nucleoside transporter 1	Recon2	Transporter	MRM0282
283	HMDB0001139	Prostaglandin F2a	prostaglandin F2alpha(1-)	Slc22a1	Solute carrier family 22 member 1	Recon2	Transporter	MRM0283
284	HMDB0001139	Prostaglandin F2a	prostaglandin F2alpha(1-)	Slc22a2	Solute carrier family 22 member 2	Recon2	Transporter	MRM0284
285	HMDB0000673	Linoleic acid	linoleate	Slc27a5	Long-chain fatty acid transport protein 5	Recon2	Transporter	MRM0285
286	HMDB0000034	Adenine	Adenine	Slc29a2	Equilibrative nucleoside transporter 2	Recon2	Transporter	MRM0286
287	HMDB0000300	Uracil	uracil	Slc29a2	Equilibrative nucleoside transporter 2	Recon2	Transporter	MRM0287
288	HMDB0000101	Deoxyadenosine	2-deoxyadenosine	Slc29a2	Equilibrative nucleoside transporter 2	Recon2	Transporter	MRM0288
289	HMDB0000085	Deoxyguanosine	Deoxyguanosine	Slc29a2	Equilibrative nucleoside transporter 2	Recon2	Transporter	MRM0289
290	HMDB0000163	D-Maltose	Maltose	Slc2a3	Solute carrier family 2, facilitated glucose transporter member 3	Recon2	Transporter	MRM0290
291	HMDB0000876	Vitamin D3	calciol	Got2	Aspartate aminotransferase, mitochondrial	Recon2	Transporter	MRM0291
292	HMDB0000876	Vitamin D3	calciol	Cd36	Platelet glycoprotein 4	Recon2	Receptor; Transporter	MRM0292
293	HMDB0000294	Urea	Urea	Slc5a1	Sodium/glucose cotransporter 1	Recon2	Transporter	MRM0293
294	HMDB0000294	Urea	Urea	Slc14a2	Urea transporter 2	Recon2	Transporter	MRM0294
295	HMDB0000294	Urea	Urea	Slc5a5	Sodium/iodide cotransporter	Recon2	Transporter	MRM0295
296	HMDB0000294	Urea	Urea	Slc14a1	Urea transporter 1	Recon2	Transporter	MRM0296
297	HMDB0000071	Deoxyinosine	Deoxyinosine	Slc29a2	Equilibrative nucleoside transporter 2	Recon2	Transporter	MRM0297
298	HMDB0000014	Deoxycytidine	Deoxycytidine	Slc29a2	Equilibrative nucleoside transporter 2	Recon2	Transporter	MRM0298
299	HMDB0002925	Dihomo-gamma-linolenic acid	dihomo-gamma-linolenic acid (n-6)	Slc27a5	Long-chain fatty acid transport protein 5	Recon2	Transporter	MRM0299
300	HMDB0000262	Thymine	Thymine	Slc29a2	Equilibrative nucleoside transporter 2	Recon2	Transporter	MRM0300
301	HMDB0000806	Myristic acid	tetradecanoate (n-C14:0)	Slc27a2	Long-chain fatty acid transport protein 2	Recon2	Transporter	MRM0301
302	HMDB0000827	Stearic acid	octadecanoate (n-C18:0)	Slc27a5	Long-chain fatty acid transport protein 5	Recon2	Transporter	MRM0302
303	HMDB0003073	gamma-Linolenic acid	gamma-linolenate	Slc27a5	Long-chain fatty acid transport protein 5	Recon2	Transporter	MRM0303
304	HMDB0001388	alpha-Linolenic acid	alpha-linolenate	Slc27a5	Long-chain fatty acid transport protein 5	Recon2	Transporter	MRM0304
305	HMDB0000132	Guanine	Guanine	Slc29a2	Equilibrative nucleoside transporter 2	Recon2	Transporter	MRM0305
306	HMDB0001514	Glucosamine	D-Glucosamine	Slc2a2	Solute carrier family 2, facilitated glucose transporter member 2	Recon2	Transporter	MRM0306
307	HMDB0001514	Glucosamine	D-Glucosamine	Slc2a4	Solute carrier family 2, facilitated glucose transporter member 4	Recon2	Transporter	MRM0307
308	HMDB0001514	Glucosamine	D-Glucosamine	Slc2a1	Solute carrier family 2, facilitated glucose transporter member 1	Recon2	Transporter	MRM0308
309	HMDB0003178	Heme	Protoheme	Slc46a1	Proton-coupled folate transporter	Recon2	Transporter	MRM0309
310	HMDB0003178	Heme	Protoheme	Lrp1	Prolow-density lipoprotein receptor-related protein 1	Recon2	Transporter	MRM0310
311	HMDB0001178	Adenosine diphosphate ribose	ADPribose	Cd38	ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 1	Recon2	Transporter	MRM0311
312	HMDB0000190	L-Lactic acid	L-Lactic acid	Hcar1	Hydroxycarboxylic acid receptor 1	30728759, 31259764	Receptor	MRM0312
313	HMDB0000538	Adenosine triphosphate	ATP	P2rx1	P2X purinoceptor 1	24335194	Receptor	MRM0313
314	HMDB0000538	Adenosine triphosphate	ATP	P2rx2	P2X purinoceptor 2	24335194	Receptor	MRM0314
315	HMDB0000538	Adenosine triphosphate	ATP	P2rx3	P2X purinoceptor 3	24335194	Receptor	MRM0315
316	HMDB0000538	Adenosine triphosphate	ATP	P2rx4	P2X purinoceptor 4	24335194	Receptor	MRM0316
317	HMDB0000538	Adenosine triphosphate	ATP	P2rx5	P2X purinoceptor 5	24335194	Receptor	MRM0317
318	HMDB0000538	Adenosine triphosphate	ATP	P2rx6	P2X purinoceptor 6	24335194	Receptor	MRM0318
319	HMDB0000538	Adenosine triphosphate	ATP	P2rx7	P2X purinoceptor 7	24335194	Receptor	MRM0319
320	HMDB0001341	ADP	ADP	P2ry1	P2Y purinoceptor 1	24335194	Receptor	MRM0320
321	HMDB0000538	Adenosine triphosphate	ATP	P2ry1	P2Y purinoceptor 1	24335194	Receptor	MRM0321
322	HMDB0000538	Adenosine triphosphate	ATP	P2ry2	P2Y purinoceptor 2	24335194	Receptor	MRM0322
323	HMDB0000285	Uridine triphosphate	UTP	P2ry2	P2Y purinoceptor 2	24335194	Receptor	MRM0323
324	HMDB0000285	Uridine triphosphate	UTP	P2ry4	P2Y purinoceptor 4	24335194	Receptor	MRM0324
325	HMDB0000538	Adenosine triphosphate	Adenosine triphosphate	P2ry4	P2Y purinoceptor 4	24335194	Receptor	MRM0325
326	HMDB0000285	Uridine triphosphate	UTP	P2ry6	P2Y purinoceptor 6	24335194	Receptor	MRM0326
327	HMDB0000538	Adenosine triphosphate	Adenosine triphosphate	P2ry6	P2Y purinoceptor 6	24335194	Receptor	MRM0327
328	HMDB0001341	ADP	ADP	P2ry12	P2Y purinoceptor 12	24335194	Receptor	MRM0328
329	HMDB0000538	Adenosine triphosphate	Adenosine triphosphate	P2ry12	P2Y purinoceptor 12	24335194	Receptor	MRM0329
330	HMDB0001341	ADP	ADP	P2ry13	P2Y purinoceptor 13	24335194	Receptor	MRM0330
331	HMDB0000538	Adenosine triphosphate	Adenosine triphosphate	P2ry13	P2Y purinoceptor 13	24335194	Receptor	MRM0331
332	HMDB0000286	Uridine diphosphate glucose	Uridine diphosphate glucose	P2ry14	P2Y purinoceptor 14	24335194	Receptor	MRM0332
333	HMDB0000067	Cholesterol	Cholesterol	Npc1l1	NPC1-like intracellular cholesterol transporter 1	21763723	Receptor	MRM0333
334	HMDB0002961	Dihydrotestosterone	Dihydrotestosterone	Ar	Androgen receptor	https://en.wikipedia.org/wiki/Androgen_receptor	Nuclear Receptor	MRM0334
335	HMDB0000234	Testosterone	Testosterone	Ar	Androgen receptor	https://en.wikipedia.org/wiki/Androgen_receptor	Nuclear Receptor	MRM0335
336	HMDB0000131	Glycerol	Glycerol	Aqp3	Aquaporin-3	32213983	Receptor	MRM0336
337	HMDB0000043	Betaine	Betaine	Slc6a12	Sodium- and chloride-dependent betaine transporter	32213983	Transporter	MRM0337
338	HMDB0000895	Acetylcholine	Acetylcholine	Chrm4	Muscarinic acetylcholine receptor M4	https://gpcrdb.org/ligand/statistics	Receptor	MRM0338
339	HMDB0000895	Acetylcholine	Acetylcholine	Chrm5	Muscarinic acetylcholine receptor M5	https://gpcrdb.org/ligand/statistics	Receptor	MRM0339
340	HMDB0000208	Oxoglutaric acid	Oxoglutaric acid	Oxgr1	2-oxoglutarate receptor 1	https://gpcrdb.org/ligand/statistics	Receptor	MRM0340
341	HMDB0000248	Thyroxine	Thyroxine	Thra	Thyroid hormone receptor alpha	https://en.wikipedia.org/wiki/Nuclear_receptor#Ligands	Nuclear Receptor	MRM0341
342	HMDB0000248	Thyroxine	Thyroxine	Thrb	Thyroid hormone receptor beta	https://en.wikipedia.org/wiki/Nuclear_receptor#Ligands	Nuclear Receptor	MRM0342
343	HMDB0000305	Vitamin A	Vitamin A	Rara	Retinoic acid receptor alpha	https://en.wikipedia.org/wiki/Nuclear_receptor#Ligands	Nuclear Receptor	MRM0343
344	HMDB0001358	Retinal	Retinal	Rara	Retinoic acid receptor alpha	https://en.wikipedia.org/wiki/Nuclear_receptor#Ligands	Nuclear Receptor	MRM0344
345	HMDB0000561	beta-Carotene	beta-Carotene	Rara	Retinoic acid receptor alpha	https://en.wikipedia.org/wiki/Nuclear_receptor#Ligands	Nuclear Receptor	MRM0345
346	HMDB0000305	Vitamin A	Vitamin A	Rarb	Retinoic acid receptor beta	https://en.wikipedia.org/wiki/Nuclear_receptor#Ligands	Nuclear Receptor	MRM0346
347	HMDB0001358	Retinal	Retinal	Rarb	Retinoic acid receptor beta	https://en.wikipedia.org/wiki/Nuclear_receptor#Ligands	Nuclear Receptor	MRM0347
348	HMDB0000561	beta-Carotene	beta-Carotene	Rarb	Retinoic acid receptor beta	https://en.wikipedia.org/wiki/Nuclear_receptor#Ligands	Nuclear Receptor	MRM0348
349	HMDB0000305	Vitamin A	Vitamin A	Rarg	Retinoic acid receptor gamma	https://en.wikipedia.org/wiki/Nuclear_receptor#Ligands	Nuclear Receptor	MRM0349
350	HMDB0001358	Retinal	Retinal	Rarg	Retinoic acid receptor gamma	https://en.wikipedia.org/wiki/Nuclear_receptor#Ligands	Nuclear Receptor	MRM0350
351	HMDB0000561	beta-Carotene	beta-Carotene	Rarg	Retinoic acid receptor gamma	https://en.wikipedia.org/wiki/Nuclear_receptor#Ligands	Nuclear Receptor	MRM0351
352	HMDB0003178	Heme	Heme	Nr1d1	Nuclear receptor subfamily 1 group D member 1	https://en.wikipedia.org/wiki/Nuclear_receptor#Ligands	Nuclear Receptor	MRM0352
353	HMDB0003178	Heme	Heme	Nr1d2	Nuclear receptor subfamily 1 group D member 2	https://en.wikipedia.org/wiki/Nuclear_receptor#Ligands	Nuclear Receptor	MRM0353
354	HMDB0000067	Cholesterol	Cholesterol	Rora	Nuclear receptor ROR-alpha	https://en.wikipedia.org/wiki/Nuclear_receptor#Ligands	Nuclear Receptor	MRM0354
355	HMDB0000067	Cholesterol	Cholesterol	Rorb	Nuclear receptor ROR-beta	https://en.wikipedia.org/wiki/Nuclear_receptor#Ligands	Nuclear Receptor	MRM0355
356	HMDB0000067	Cholesterol	Cholesterol	Rorc	Nuclear receptor ROR-gamma	https://en.wikipedia.org/wiki/Nuclear_receptor#Ligands	Nuclear Receptor	MRM0356
357	HMDB0000876	Vitamin D3	Vitamin D3	Vdr	Vitamin D3 receptor	https://en.wikipedia.org/wiki/Nuclear_receptor#Ligands	Nuclear Receptor	MRM0357
358	HMDB0001358	Retinal	Retinal	Rxra	Retinoic acid receptor RXR-alpha	https://en.wikipedia.org/wiki/Nuclear_receptor#Ligands	Nuclear Receptor	MRM0358
359	HMDB0001852	all-trans-Retinoic acid	all-trans-Retinoic acid	Rxra	Retinoic acid receptor RXR-alpha	https://en.wikipedia.org/wiki/Nuclear_receptor#Ligands	Nuclear Receptor	MRM0359
360	HMDB0002369	9-cis-Retinoic acid	9-cis-Retinoic acid	Rxra	Retinoic acid receptor RXR-alpha	https://en.wikipedia.org/wiki/Nuclear_receptor#Ligands	Nuclear Receptor	MRM0360
361	HMDB0006219	13-cis-Retinoic acid	13-cis-Retinoic acid	Rxra	Retinoic acid receptor RXR-alpha	https://en.wikipedia.org/wiki/Nuclear_receptor#Ligands	Nuclear Receptor	MRM0361
362	HMDB0001358	Retinal	Retinal	Rxrb	Retinoic acid receptor RXR-beta	https://en.wikipedia.org/wiki/Nuclear_receptor#Ligands	Nuclear Receptor	MRM0362
363	HMDB0001852	all-trans-Retinoic acid	all-trans-Retinoic acid	Rxrb	Retinoic acid receptor RXR-beta	https://en.wikipedia.org/wiki/Nuclear_receptor#Ligands	Nuclear Receptor	MRM0363
364	HMDB0002369	9-cis-Retinoic acid	9-cis-Retinoic acid	Rxrb	Retinoic acid receptor RXR-beta	https://en.wikipedia.org/wiki/Nuclear_receptor#Ligands	Nuclear Receptor	MRM0364
365	HMDB0006219	13-cis-Retinoic acid	13-cis-Retinoic acid	Rxrb	Retinoic acid receptor RXR-beta	https://en.wikipedia.org/wiki/Nuclear_receptor#Ligands	Nuclear Receptor	MRM0365
366	HMDB0001358	Retinal	Retinal	Rxrg	Retinoic acid receptor RXR-gamma	https://en.wikipedia.org/wiki/Nuclear_receptor#Ligands	Nuclear Receptor	MRM0366
367	HMDB0001852	all-trans-Retinoic acid	all-trans-Retinoic acid	Rxrg	Retinoic acid receptor RXR-gamma	https://en.wikipedia.org/wiki/Nuclear_receptor#Ligands	Nuclear Receptor	MRM0367
368	HMDB0002369	9-cis-Retinoic acid	9-cis-Retinoic acid	Rxrg	Retinoic acid receptor RXR-gamma	https://en.wikipedia.org/wiki/Nuclear_receptor#Ligands	Nuclear Receptor	MRM0368
369	HMDB0006219	13-cis-Retinoic acid	13-cis-Retinoic acid	Rxrg	Retinoic acid receptor RXR-gamma	https://en.wikipedia.org/wiki/Nuclear_receptor#Ligands	Nuclear Receptor	MRM0369
370	HMDB0006216	11-cis-Retinol	11-cis-Retinol	Nr2f2	COUP transcription factor 2	https://en.wikipedia.org/wiki/Nuclear_receptor#Ligands	Nuclear Receptor	MRM0370
371	HMDB0000063	Cortisol	Cortisol	Nr3c1	Glucocorticoid receptor	https://en.wikipedia.org/wiki/Nuclear_receptor#Ligands	Nuclear Receptor	MRM0371
372	HMDB0000037	Aldosterone	Aldosterone	Nr3c2	Mineralocorticoid receptor	https://en.wikipedia.org/wiki/Nuclear_receptor#Ligands	Nuclear Receptor	MRM0372
373	HMDB0001830	Progesterone	Progesterone	Pgr	Progesterone receptor	https://en.wikipedia.org/wiki/Nuclear_receptor#Ligands	Nuclear Receptor	MRM0373
374	HMDB0002369	9-cis-Retinoic acid	9-cis-Retinoic acid	Vdr	Vitamin D3 receptor	15824121	Nuclear Receptor	MRM0374
375	HMDB0000053	Androstenedione	Androstenedione	Ar	Androgen receptor	16524719; 28457967; 12647261; 20534728; 24861263; 23856005; 18645714; 23258647	Nuclear Receptor	MRM0375
376	HMDB0000031	Androsterone	Androsterone	Ar	Androgen receptor	21303972; 24861263; 12647261	Nuclear Receptor	MRM0376
377	HMDB0003550	Calcidiol	Calcidiol	Vdr	Vitamin D3 receptor	25201891; 33348854	Nuclear Receptor	MRM0377
378	HMDB0001903	Calcitriol	Calcitriol	Vdr	Vitamin D3 receptor	29657326; 15077124; 20303786; 28008815; 9211344; 8574944; 9211349; 19667157; 16061850; 10079704; 17629157; 15225804; 21337382; 19371337; 21647319; 16048257; 29367669; 22276021; 29113124; 24597598; 27530414; 12899526; 9144338; 20798257; 12465754; 18290711; 33348854; 33354999; 26000306; 15861036; 12753260; 10633458; 16886687; 17489022; 19034868; 19705334; 25614680; 33211721; 22213328; 8147918; 24060611; 7552094; 20592360; 22720752	Nuclear Receptor	MRM0378
379	HMDB0000151	Estradiol	Estradiol	Esr2	Estrogen receptor beta	25765287; 20173016	Nuclear Receptor	MRM0379
380	HMDB0000761	Lithocholic acid	Lithocholic acid	Vdr	Vitamin D3 receptor	32863311; 24343899; 20888898; 20006981; 29074825; 19244278; 18180267; 15489543; 19581390; 32213983; 14525957; 16724925; 15824121	Nuclear Receptor	MRM0380
381	HMDB0000216	Norepinephrine	Norepinephrine	Adra1a	Alpha-1A adrenergic receptor	https://en.wikipedia.org/wiki/Adrenergic_receptor	Receptor	MRM0381
382	HMDB0000068	Epinephrine	Epinephrine	Adra1a	Alpha-1A adrenergic receptor	https://en.wikipedia.org/wiki/Adrenergic_receptor	Receptor	MRM0382
383	HMDB0000216	Norepinephrine	Norepinephrine	Adra1b	Alpha-1B adrenergic receptor	https://en.wikipedia.org/wiki/Adrenergic_receptor	Receptor	MRM0383
384	HMDB0000068	Epinephrine	Epinephrine	Adra1b	Alpha-1B adrenergic receptor	https://en.wikipedia.org/wiki/Adrenergic_receptor	Receptor	MRM0384
385	HMDB0000216	Norepinephrine	Norepinephrine	Adra1d	Alpha-1D adrenergic receptor	https://en.wikipedia.org/wiki/Adrenergic_receptor	Receptor	MRM0385
386	HMDB0000068	Epinephrine	Epinephrine	Adra1d	Alpha-1D adrenergic receptor	https://en.wikipedia.org/wiki/Adrenergic_receptor	Receptor	MRM0386
387	HMDB0000216	Norepinephrine	Norepinephrine	Adra2a	Alpha-2A adrenergic receptor	https://en.wikipedia.org/wiki/Adrenergic_receptor	Receptor	MRM0387
